Common Name,Country,Category,Taxonomic Group,Taxonomic Subgroup,Scientific Name,Year Last Documented,NY Listing Status,Federal Listing Status,State Conservation Rank,Global Conservation Rank,Distribution Status,Image Url
Aardvark,Africa,Mammal,Mammalia,Afrotheria,Orycteropus afer,2021,Not Listed,Not Listed,S4,G4,Widespread,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTBfJGISLDqiOdOV8wbge7McVi_PLGf6O1XNq-y3yOV7ZER26gZYjqSrC4A&s=10
Aardwolf,Africa,Mammal,Mammalia,Carnivora,Proteles cristata,2021,Not Listed,Not Listed,S2,G4,Limited Range,https://a-z-animals.com/media/2021/12/aardwolf-768x401.jpg
Abalone,Worldwide,Mollusk,Mollusca,Gastropoda,Haliotis spp.,2021,Not Listed,Not Listed,S2,G5,Coastal,https://cdn.pixabay.com/video/2023/06/30/169471-841382876_tiny.jpg
Abert’s Squirrel,USA (New Mexico),Mammal,Mammalia,Rodentia,Sciurus aberti,2021,Not Listed,Not Listed,S2,G4,Limited Range,https://www.noaa.gov/sites/default/files/styles/landscape_width_1275/public/legacy/image/2019/Jun/PHOTO%20-%20seal%20rehabbed%20-%2004262016%20-%20marine%20mammals%20of%20maine%20-%20LANDSCAPE.jpg
Abyssinian,Africa,Mammal,Mammalia,Feliformia,Felis silvestris lybica,2021,Not Listed,Not Listed,S4,G5,Domestic,https://www.noaa.gov/sites/default/files/styles/landscape_width_1275/public/legacy/image/2019/Jun/PHOTO%20-%20seal%20rehabbed%20-%2004262016%20-%20marine%20mammals%20of%20maine%20-%20LANDSCAPE.jpg
Abyssinian Guinea Pig,Africa,Mammal,Mammalia,Rodentia,Cavia porcellus,2021,Not Listed,Not Listed,S4,G5,Domestic,https://www.noaa.gov/sites/default/files/styles/landscape_width_1275/public/legacy/image/2019/Jun/PHOTO%20-%20seal%20rehabbed%20-%2004262016%20-%20marine%20mammals%20of%20maine%20-%20LANDSCAPE.jpg
Acadian Flycatcher,"USA, Canada",Bird,Aves,Passeriformes,Empidonax virescens,2021,Not Listed,Not Listed,S3,G4,Migratory,https://live.staticflickr.com/65535/51980751292_38b3d98b76_b.jpg
Accentor,"Europe, Asia",Bird,Aves,Passeriformes,Prunella spp.,2021,Not Listed,Not Listed,S3,G5,Widespread,https://live.staticflickr.com/65535/51980751292_38b3d98b76_b.jpg
Ackie Monitor,Australia,Reptile,Reptilia,Squamata,Varanus acanthurus,2021,Not Listed,Not Listed,S3,G4,Endemic,https://www.eurokidsindia.com/blog/wp-content/uploads/2023/10/fascinating-reptile-facts.jpg
Acorn Woodpecker,USA,Bird,Aves,Piciformes,Melanerpes formicivorus,2021,Not Listed,Not Listed,S4,G5,North America,https://live.staticflickr.com/65535/51980751292_38b3d98b76_b.jpg
Acorn Worm,USA,Invertebrate,Annelida,Polychaeta,Eulalia spp.,2021,Not Listed,Not Listed,S4,G5,Coastal,https://upload.wikimedia.org/wikipedia/commons/thumb/1/14/Invertebrate_montage_%282022%29.jpg/1200px-Invertebrate_montage_%282022%29.jpg
Acouchi,South America,Mammal,Mammalia,Rodentia,Myoprocta acouchy,2021,Not Listed,Not Listed,S3,G4,Limited Range,https://www.noaa.gov/sites/default/files/styles/landscape_width_1275/public/legacy/image/2019/Jun/PHOTO%20-%20seal%20rehabbed%20-%2004262016%20-%20marine%20mammals%20of%20maine%20-%20LANDSCAPE.jpg
Addax,North Africa,Mammal,Mammalia,Artiodactyla,Addax nasomaculatus,2021,Endangered,Critically Endangered,S1,G1,Endangered,https://www.noaa.gov/sites/default/files/styles/landscape_width_1275/public/legacy/image/2019/Jun/PHOTO%20-%20seal%20rehabbed%20-%2004262016%20-%20marine%20mammals%20of%20maine%20-%20LANDSCAPE.jpg
